review,target
"This was more of a love story than one about an angel who comes down here to earth, although both angles of that story are given a good share of the movie.<br /><br />If I took this movie to heart, as someone who knows and believes the Bible, I would have canned it pretty quick, but I don't think the general atmosphere was either mean-spirited or blasphemous. It was just ludicrous or just plain stupid.<br /><br />I mean, John Travolta as a grubby angel? Smoking? Scratching his groin? Quoting the Beatles? A ""warring angel"" who knows nothing about Heaven? An angel who flirts with all the women? Yes, it's all absurd and certainly Biblically- incorrect. <br /><br />I could tolerate all that but I don't know how many people, whatever beliefs they hold, who could stand a boring film which this turned out to be during the second half of it. It begins to drag when the romance begins between William Hurt and Andie MacDowell. Some of the dialog during that romance is so stupid it's insulting to any discriminating viewer.<br /><br />This is another Nora Ephron-directed film. Man, I can't believe how many incredibly stupid movies this woman has either written or directed. At least she's consistent.",negative
"It was a sweet, intro for the most intelegent Sailor Soldier, Sailor Mercury. It consisted with a new ""in croud"", Merciurios. He, at the beganing wrote a love letter to Ami, which would be starltling (of course) and, now, Ami thiks he is a chibi-Einstien, and he is attractive (He ended up looking like Umino (Melvin)). This was a halarios (expesialy Minako's ""It's no skin off my neck"" scene (HOT!)) Well, I really like the Bishojo Senshi Sailor Moon Series, I personally think its the best anime ever!, But, this movie was nice, funny, but not as adventurios as Sailor Moon R- It was more like the ""S"" movie. I saw this @ Sailor Moon Univewrse, with real Player, and it was pretty good. (Over all)",positive
"""The Dresser"" is perhaps the most refined of backstage films. The film is brimming with wit and spirit, for the most part provided by the ""energetic"" character of Norman (Tom Courtenay). Although his character is clearly gay, and certainly has an attraction for the lead performer (Albert Finney) that he assists, the film never dwells on it or makes it more than it is.<br /><br />The gritty style of Peter Yates that worked so well in ""Bullitt"" is again on display, and gives the film a sense of realism and coherence. This is much appreciated in a story that could so easily have become tedious. In the end, ""The Dresser"" will bore many people silly, but it will truly be a delight to those who love British cinema.<br /><br />7.7 out of 10",positive
"I really thought this would be a good movie, boy...was I mistaken! For a quick summery: B grade acting C grade special effects D grade for the overall movie. Don't get me wrong, the story was pretty good and not kiddish so an adult too ride along with it, the ""hero"" is good looking so most women will like it :-), not a total chick flick as it contains some fight scenes and some blood<br /><br />but the way it is shot... horrible <br /><br />the special effects->would be better suited for TV->on a kids show <br /><br />and lastly...send some of the actors back to acting school if they ever attended a class there.<br /><br />Trust me there are much better ways to waste 2 hours.<br /><br />You have been warned.",negative
"They screwed up this story! In the end Nell is all heroic and taking on for the team to save all their asses from Hill House and a bunch of nonsense like that! They added heads getting chopped, wires cutting peoples faces, and the ceiling turning into a giant hand! What the hell is that about??? I own and love the original movie, I read the book and I love it! The reason why the original movie and the book are so great is because it scares you so much without even showing the ghost. There is no gore. There is no ceiling hand. It is only the ghost ad how ghosts can truly kill a person. They cannot kill us, they cannot throw us about the room or fly a knife into our head. No. They can only drive us mad. Taking away all our senses of security. Nell was a selfish woman. She only wanted good things for herself. Yes, she cared a little for the others, but not too much. David Self and Jan de Bont have taken a crap on this great story! I hate this damn remake!",negative
"This has got to be the worst show I have ever seen. I always liked Chuck Norris in Films, but why do we need to make these shows politically correct by adding a black side kick who is as threatening as Shirley Temple in Little Miss Marker. I also thought the show was limited because how many times can you kick a guy in the face and make it interesting. I know an African American who looks like this Trivette guy and he gets his butt kicked about once a week he is all attitude.<br /><br />Chuck Norris is the man and he deserves all the kudos he gets, I think this show started great but lost steam as time went on<br /><br />They should have dumped Chucks side kick",negative
"If I had never seen the first Road House, then I guess this movie might get one more star, but even then that makes it a 3 star movie. For that matter I was really surprised as to the relatively high rating it currently has.<br /><br />In reality, I was not able to finish this movie, as it was painful. Where it went wrong (at least the most obvious way) is that it pretty much parallels the original exactly even though the original plot is still referenced. This doesn't really make sense and doesn't work. Also, the acting is weak...I never felt like I was into the movie yet I felt like I was watching people act. Even good actors like Busey don't work out, probably due to the screenplay or maybe the awkward editing. The strangest thing is that the movie feels like a mid 90's B movie, yet is made in 06. I am not sure as to why, but then again, this often seems to happen with sequels for some reason. The music, the look, and the whole overall feel reminds me of movies you saw 10 years ago on Cinemax late at night. The strangest thing of all is that I am also expecting Ja Rule to come in at some point...often it reminds me of more current movies with rappers as actors.<br /><br />The most irritating thing is love interest girl who's character seems like a total rip off of the Lois Lane character on Smallville which is also quite annoying. And lets not forget the fakest sounding ""southern accents"" I have heard since Walk the Line. I realize this is common place in movies, but no accent at all would work better than attempting to sound like you are from that universal hick place on TV where anyone from any southern state (or KY and WV) sound exactly the same. Sure, people in desert towns in AZ sound just like people in Southeastern states 2000+ miles away. That was wearing thin 10 years ago in the B movies where technique came from. Why do writers / directors make such decisions? <br /><br />Bottom line: I would truly not recommend this if you are a fan of Road House or if you like good movies. Also, if you have not seen it yet, don't spoil it by seeing this version first. The original Road House was one of those accidental classics that people love and watch over and over. It was an unexpected success like American Graffiti, Dazed and Confused, and more recently Office Space, Fast and Furious (only the first one!), and Napolean Dynamite. Why did they spoil it!!!???<br /><br />They should have never made a sequel to Road House other than a high budget version with the right actors / director. Sure, you can never top the original (ex: Bad News Bears, The Longest Yard, etc.), but at least if you can do it right it will be presentable as is the case with the examples I mentioned. But to make a low budget, off-network, self production of Road House is criminal.",negative
"This is by far the worst version of William Shakespeare's tragic masterpiece I have ever seen. It seems the filmmakers didn't actually read Shakespeare's text. No, they just took what they wanted from the Lawerence Olivier movie. The plot is out of order and slimmed down to its bare necessity, yet there is time for the non-canon Olivier created incest hint between Hamlet and Queen Gertrude. Could we have had the ""Something rotten in the state of Denmark"" bit instead? Casting is another issue. I understand that the far superior Branagh movie had its weak bits (Robin Williams and Charlton Heston come to mind), but this one has very few good moments. I do like Laertes and Polonius, but the rest of the cast is stale. Mel Gibson's creepy stubble is irritating, and one often wonders if he has any idea what he is saying. Many of the actors seem to have just memorized the part--they know less about what is being said than sophomores in high school.<br /><br />If you want a version of Hamlet, check out Kenneth Branagh's or even Lawerence Olivier. To be frank, even Disney's Hamlet is better.",negative
"I had the privilege to see this movie at the Intenational Film Festival of Rotterdam.<br /><br />'Xizhao' or 'Shower' is a $200.000 lowbudget movie about a father and his 2 sons. The father has a traditional bathhouse somewhere in a traditional Chinese village where local, mostly aged men, come to relax and to go bathing. The father has to sons: a 'retarded' son who lives with him and a son who lives in a big modern city and who comes to visit him. To this son the traditional village, the bathhouse and his 'retarded' brother seem strange and annoying, but this changes along the movie.<br /><br />Though the story may sound cheesy or cliche, it's not. With really great performances, especially of the father and the 'retarded' son (sorry, I don't know their names) and a great story the movie was touching and funny at the same time.<br /><br />If you got a chance to see this movie do it. It's a great alternative to mainstream Hollywood cinema.<br /><br />",positive
"I really don't get all the adulation that this film has received. It's mawkish, unnecessarily manipulative and dodges many of the big issues - ie Nash's affairs and his predilection for having sex with men in public places. That, I suppose, in the context of a commercial Hollywood film is just about tolerable, but what's with all the praise for Russell Crowe's performance? The man just seems to shuffle about, clutching his briefcase and wearing a grungy hat and somehow that seems to qualify as fine acting? Anyone who has ever known a person with mental health problems will realise that Crowe's performance is little short of caricature. It is also rather offensive. And, dare I say, just on the right side of being truly terrible",negative
"Terry Gilliam's and David Peoples' teamed up to create one of the most intelligent and creative science fiction movies of the '90's. People's proved a screenplay with bizarre twists and fantastic ideas about the nature of time  I especially love the idea one can't change the past; it's a nice counterpoint to so many time-travelling movies which say otherwise  biological holocausts and the thin line between sanity and madness. Gilliam visualized his ideas with unique quirkiness, perfection and originality.<br /><br />The story itself is engaging: one man, James Cole (played by Bruce Willis in a heart-warming performance) travels several decades to the past to retrieve information about a virus that's wiped out mankind and left only a few survivors alive living underground: with the information he'll collect, scientists hope to find a cure so everyone in the future can return to the surface. But because their time-travelling technology isn't perfect, he ends up being sent towards different other pasts and complicating things. And from that a brilliant science fiction thriller with shades of film noir ensues as the multiple pieces of a huge jigsaw start fitting together to form a bizarre narrative involving animal right activists, end of the millennium paranoia, biological weapons, the perception of reality, and the definition of sanity. With such a complex movie, it was easy for Gilliam and Peoples to create a mess, but instead Twelve Monkeys is a thought-provoking narrative which will please those who like to be challenged and have patience to appreciate some crazy ideas.<br /><br />I watched this movie once around 10 years ago. It marked me a lot: I remember still thinking about many days after-wards; for my young mind this seemed quite mind-blowing and it was one of the first movies to make me appreciate cinema as something serious and important. I've re-watched this movie a few days ago on DVD and it's better than I remembered it. Brad Pitt still steals all the scenes he's in, playing Jeffrey Goines  almost a prelude to his Tyler Durden character in Fight Club  a rich kid with some anarchist/non-conformist ideas who's also crazy and, according to Cole, perhaps responsible for the virus. The scenes between Jeffrey and Cole in the madhouse are the best in the movie, Pitt's eyes, voice and quirky mannerisms convince you he's really a crazy guy locked in a warped logic only he understands. Pitt's Oscar nomination was well deserved! Surprising was also Bruce Willis' performance: his I didn't remember very well, but it's beautiful and full of sensibility; he plays a man who spent almost all his life underground, and when he comes to the past you'll share his childish fascination with something as simple as breathing the fresh air of the morning or watching the sun go up. Cole is a rather ambiguous character, Peoples' tried to imbue some darkness in him, and he does other disturbing things to other people and to himself: the scene where he removes his own teeth reveals how far his dementia has gone unchecked. Ironically Cole didn't start as a crazy character, but when he starts warning everyone about the end of the world, he's considered mad and convinced it's all in his mind, until he arrives at a point when he can't distinguish past from future, reality from fiction. Willis spends a lot of time looking confused and insecure, and it works perfectly. One of the fun twists in the narrative is when Cole's shrink, Dr. Kathryn Railly, finds undeniable proof he's really from the future and now has to convince him again of his mission to save the world. The screenplay is full with weird twists like this and it keeps the movie in a fast pace. Their relationship is also well-handed, although perhaps a bit compressed for time's sake. But I enjoyed watching Cole and Railly falling in love and trying to escape the authority of the future to live a peaceful life in the past. But then things end in a tragic/bittersweet climax at an airport, wrapping all the pieces together, which will blow many minds away.<br /><br />There are two great endings in this movie, a twist in the sense of Se7en or Fight Club, and a more intimate ending where Railly is crouching next to Cole who's just been shot and looking around for a younger James Cole who's witnessing his future self die; the two share a brief look, and she smiles at him. The twist is brilliant, but I prefer this ending for emotional impact. Madeleine Stowe is very good playing Dr. Railly, she drew many different emotions from me in her performance. The movie is filled with a sense of fatalism with the idea the past can't be changed: this movie shows that in a terrifying way. It reminds me of Chinatown in that sense, the way Jake Gittes messes everything up the more he tries to help. Railly's character shares that fatalism, the more she tries to help Cole  first dealing with his 'madness' then helping him in his mission  the more they're sucked into tragedy.<br /><br />The twist ends with a hopeful note, though, with the feeling Cole's mission hasn't been in vain. Twelve Monkeys is a great movie to watch if one wants to be entertained; it's not supposed to be art, although it's more artists than many artistic movies. It's an unpretentious movie where all elements, from music to editing to costume design, etc., came together beautifully to produce a modern cinema masterpiece.",positive
"Apparently this was an award winner. Apparently someone had a gun against his/her head and was force to nominate Maize: the Movie.<br /><br />Or this must have been a mistake.<br /><br />This is the most unwatchable movie ever made. The screening and the editing is the biggest horror of this movie. Two little girls get lost in a cornfield and get stalked by someone who can be heard laughing under his rubber mask. The little girls run into their hero dad, and then runs away from him, W.T.F.? The hero dad in the movie keeps losing track of them in the few minutes of watching this.<br /><br />The girls obviously weren't trained actors, and had no common sense to them. They were so annoying and so infantile in the movie, it not even remotely comedic. Hearing them scream over and over again like a broken record was the reason why I got up and left. You can't even listen to this movie without nearly going into convulsions.<br /><br />I can puke a better award winner than this garbage.",negative
"I enjoyed the Mr. Magoo cartoons I saw while growing up. And I enjoy Leslie Nielson's comic skills. So, I thought, this marriage must produce a funny child.<br /><br />I couldn't have been more wrong.<br /><br />This movie was just awful. I don't recall a single funny moment. This is one of the two or three times (in hundreds of films over the years) I've wanted my money back. You will leave this film dejected because you won't ever have that time back to use in a better way. In a comedy, the plot must draw in the viewer and serve as a framework for gags. This plot does neither. It just kinda lies there, gasping like a beached fish.",negative
"This movie was one of the funniest movie I've seen in years and the laughs from the audience members support me. Not since My Big Fat Greek Wedding (2002) has the laughter been as spontaneous and intense. Easily has intricate as last year's Mr. and Mrs. Smith (2005) in its use of parody (espionage in Mr. and Mrs. Smith and sex in My Super Ex-Girlfriend). Director's Ivan Reitman balance between comedy and drama, between crazy and downright ludicrous is great. Never does the shock and dramatic serious crack the rule of comedy. At the same time, this predictable romantic comedy never loses its touching emotional elements even if the ending is broadcast in advance. In some ways, it's so evident that it's great to see how it plays out. Just like in real life, sometimes the truth is so evident that one can't really see it. Easily eight out of ten stars ranking up there with Tootsie (1982). Possibly a nine (depends on how it appears on a second viewing).",positive
"By the acting in this movie, it is sometimes hard NOT to imagine that the cast are who they portray themselves to be. Unbridled passion and acting at times make this a very enjoyable and engaging movie. Wouldn't even have known about it except for HBO late night. And the biggest reason I like UK films much better than American ones are that the actors aren't afraid to act out what is needed.",positive
"This movie features several well known actors which I usually like, so I had at least modest expectations when I rented this on DVD. I was highly disappointed. In fact I walked off for some snacks somewhere during the last half hour and somehow I ended up in the kitchen rather then going back to the TV. The actor performances where poor pretty much all across the board and none of the atmospheres in the movie felt very convincing. Virtually all scenes had that ""just a movie"" feeling to them, I just sat there waiting to hear the director calling ""CUT!"" followed by the crew having a little chat about the scene before moving on to the next.<br /><br />Since the movie is about gangsters most characters are tough and mob-like, the problem here is just that this whole bad-boy attitude is played out so poorly that it just feels like a joke. The constant guitar-drilling soundtrack really tries to emphasize this atmosphere too, but when the same track is played the 18th time it just adds to the already strong feeling of the whole thing just being fake.<br /><br />Maybe it was just a really really bad script, maybe it was just poorly executed. I'm no movie critic, in fact I consider it rare to see something that's REALLY good, but this was just plain bad no matter how objective and forgiving I'm trying to be. NOT recommended, not even as a rental!",negative
"Last night, I saw A PECK ON THE CHEEK (KANNATHIL MUTHAMITTAL with English subtitles). Oddly, it was 137 minutes long--slightly longer than the time listed on IMDb.<br /><br />At first, I found myself losing interest in this film because the rather confusing style of filming really lost me. The context for what was occurring was missing and I am glad I stuck with it. At the beginning, a young couple is married and shortly after the wedding, war breaks out in their native Sri Lanka and the lovers are separated. Months later, the wife is very pregnant and on board a refugee vessel heading to India. At a refugee center, you see the lady about to give birth--after which the titles to the film finally are revealed.<br /><br />The entire focus of the film then changes completely--to a young girl who is about to turn 9 in Madras, India. You see her in her home and she talks to the camera about her life and family. None of this seems that interesting or important and you wonder what is missing--what about the lady who was about to give birth? My wife and I debated this and we finally guessed that this little girl was actually the child of the lady in the first part of the film. Somehow or another, she had been adopted and was talking about her life with mom and dad #2--though she did NOT realize these people were not her biological parents.<br /><br />Soon after this, the parents revealed themselves to be total idiots (one of the complaints I had about the film), as they decided to tell this very young girl the truth about her parentage AND tell it in a way that left the girl emotionally screwed up and confused. Despite a stupid decision and telling her in the worst way, the parents made up for this by agreeing to help her find her biological mother. Seeing the impact all this had on the girl and parents (particularly the adoptive mother) was impressive to watch and sure sparked my interest.<br /><br />Unfortunately, Sri Lanka has been involved in a very, very long and brutal civil war with Tamilese militants, off and on, for three decades. The family's decision to look for the mom back in Sri Lanka was indeed noble, but also a bit stupid at times--as they took so many risks and nearly got killed again and again by just blindly jumping into the middle of a war! This was all exciting and captivating but also left me wondering about the sanity of the adoptive parents--first you tell her she ISN'T your biological child and now you take her in the middle of a WAR ZONE!!! Sure, the kid really wanted to meet her biological mother, but this really was stupid in hind sight. If it were me, I might have been tempted to pay an unemployed actress to play the part and fool the kid--thus avoiding being in the middle of a war!<br /><br />Despite my complaints, the film was lovely to watch and was very rewarding. Far from perfect, it sure hits an emotional home run. Also, while I expected this because I have seen several Indian films, many Westerners will be a bit surprised by the vivid songs that seem to come out of no where--this IS standard in most films from India--including those made in Bollywood (Bombay) and Tamilwood/Kollywood (Madras).",positive
"of watching this as a child. Although I'll probably find it god-awful now, it was kind-of spooky stuff as I was only seven or so. I also recall working on a Saturday-afternoon puzzle while watching it, so I wasn't really paying much attention. However, the scene with the rolling boulders has been burnt into my mind ever since. I've asked numerous people if they've seen this flick but to no avail. 12 years ago, one person mentioned that, possibly, he had seen it, but he thought it merely a dream; a fanciful piffle like wind. It's no dream, my friend. No dreaming now. Again, I haven't seen it since then, but I can't wait to find a copy and stuff it into my VCR. Anything that can stay embedded in my mind's eye for 23 years deserves a '10'.",positive
"What can you say about a grainy, poorly filmed 16mm stag film, where the best and most attractive performer is a German Shepherd? Nothing that would be positive. Avoid this travesty at all costs. In any case, it would be difficult to find, since bestiality remains a taboo and illegal subject in the USA. I strongly suggest IMDb to re-visit their weighting formula for establishing ratings, since an 8.8 rating for this piece of fecal matter is absurd! I am, by no means, a prude and have spent many hours enjoying the classic porn movies of the 70's & 80's; but this is inferior product even by the looser standards of the (then illegal) stag loop.",negative
"Whether this movie is propaganda or not (I firmly believe it is not), it really shows the power of Media. The importance of this documentary is not to show how good of a man Chavez is. It is really to demonstrate the way the Bolivarians saw how it happened, the Chavez way of seeing it. Although it may seem wrong and bias to support a film , I think the point of view shown in the movie is utterly legitimate. The Venezuelian people via the private media corporation of Venezuela only saw a one side perspective of the coup, the Neo-Liberal side. This movie shows us the way the Bolivarians saw it . Call it propaganda , I say it's a judgment call on your part.",positive
"This is easily the worst, most offensive piece of crap on TV. I'd love to completely ignore it but Fox has stuck it into their Sunday lineup, forcing me to find something else to watch between American Dad and Family Guy. The dink-head male star guy is just about the least evolved, pathetic excuse for a human I have ever seen on TV. Nothing on the show is remotely funny and pretty much everything on it has been done already and much better by other shows.<br /><br />It's obvious that their strategy is to ram it deep and hard into the Sunday schedule and hope someone starts liking it... but I have to break it to ya, Fox, thats the wrong hole. The scam not worked on me - I simply look elsewhere - but come on, you freaking boneheads, this show freaking SUCKS, and it sucks even worse when compared to the rest of the Fox Sunday lineup.<br /><br />THEY CANCELLED ARRESTED DEVELOPMENT FOR THIS STEAMING PILE?",negative
"I enjoyed this movie quite a lot. I have always been a fan of Whoopi Goldberg and this movie only emphasizes it. She portrays a housewife in an African-American family which is moving up the social chain due to the husband's (Danny Glover) success as an attorney. She moves to an all white neighborhood where the people are friendly, yet a little awkward toward her. The various events that arise during the course of the movie make for SOME laughs but mostly appeal to the other emotions. This movie is not so much a comedy as a drama. I give it a strong 8/10. I highly recommend you catch it on TV or rent it soon.",positive
"This true story of Carlson's Raiders is more of a Army training film than anything else.Obviously thrown together quickly on a miniscule budget about the only thing it has to recommend it is an early performance by Robert Mitchum,who's the only decent actor in the cast,and actual footage of the wreckage at Pearl Harbor which gets your blood boiling,as it was obviously intended to do.",negative
"I had this DVD to watch, thinking that I would see a type of biography o painter Goya, but the movie was about everything but Goya. This movie is about a young woman taken away from her family by the Holy Inquisition, allegedly because she practiced Jewish rituals (only because the poor girl did not like eating pork!). The rest of the movie is about torture, humiliation, driven by a poor script (can't believe it is by JC Carrière as I could not believe this cr** is directed by Mr Milos Forman) centered on a religious man and that young woman and that is all. <br /><br />Ah, and there is Goya, I forgot, playing a completely peripheral role - that could be the role of John, Paul, Peter, Manuel, Joaquim, Jose or anyone. Very disappointing - one one these movies that will be forgotten for ever (if it has not had happened yet). Rent ""The Name of the Rose"" if you want a movie about the Holy Inquisition. And I don't know what you should rent, if you want to watch a movie about Spanish painter Goya. Maybe a director of a good caliber, not Forman, still needs to make it. PS: the Spanish painter, Goya - the title role who is lost in the plot - is portrayed by a Scandinavian actor, something that makes this film even more difficult to be taken seriously. Maybe next time we should send Javier Barden to play the biopic of Norwegian painter, Edvard Munch!",negative
"Curiously, it is Rene Russo's eyes and mouth--not Buddy the Gorilla's-- that emerge as the focal point of ""Buddy"", a Jim Henson Pictures production through Francis Ford Coppola's Zoetrope. Somehow, countless close-ups of Russo's face slipped passed in the post-production stages, and she literally fills the screen so many times the poor apes are upstaged. Unintentionally funny true story adapted from Gertrude ""Trudy"" Davies Lint's memoirs about a wealthy doctor's wife who turns their mansion into a menagerie for pets and wild-life. The movie goes beyond good intentions...it positively drips with earnest sincerity. The movie never sparkles with the kind of ""family film"" magic that it needed, and before too long both the people and the animals seem distinctly programmed (nothing here feels real). About ten minutes in, two chimpanzees are goofing around in Russo's kitchen and start throwing a butcher's knife back and forth (it misses Alan Cumming's head by inches); yet, no eyebrows are raised because it's all in a day's fun. Still, when full-grown gorilla Buddy gets crazy during a thunderstorm, the cops are called--and everyone stares at Buddy through the window while he busts up the living room furniture. The furniture should be the least of anyone's worries in this flabbergasting, do-gooder failure. But, at least we know Russo was in good hands: whenever director Caroline Thompson needs a good pick-up shot, she gives unstartled Rene another extreme close-up. I wonder what the lipstick budget was on this picture? ** from ****",negative
"This puddle of derivative drivel stole from every Soviet film of note and failed miserably. I was left with an experience of everything that is wrong with organized religion in general and the Russian Orthodox Church's particular shortcomings (mind you this comment comes from a person of faith). Even the outstanding cinematography left me uninspired. I spent its most beautiful moments very aware of the masterworks that it was poorly imitating. I would not recommend seeing this movie unless you have a deep passion for the Russian Orthodox Church, its monastic traditions, miracles in the face of Communism, and Saints of the Seventies. It is a meaningless film from (and about) a narrow perspective that did absolutely nothing for me.",negative
"I knew about but had never seen Grey Gardens, before I saw the Broadway musical of the same name. Friends cautioned me that if I had not seen the movie, the musical would not make sense. It did, but it also prompted me to rent the movie. At first, I thought it was a train wreck, full of strange, shrieking characters, and it was exceedingly hard to watch. But being able to stop it, digest it and go back to it made me realize why Grey Gardens is considered to be a memorable documentary. <br /><br />Both Big Edie and Little Edie are unforgettable and their utter lack of self-consciousness is worth witnessing. Both of them remain beautiful despite their encroaching age. They have a relationship that will chill any woman (and undoubtedly some men) and make you re- examine your own dealings with your mother. In an era when reality television and cinema is commonplace, it's fascinating to see the Mayleses' work from three decades ago, and realize what an impact the film must have had.<br /><br />I echo what other posters have said: how were they allowed to slip into such squalor by their family? But beyond that, how could two people living in the 1970s be able to escape reality in such a complete fashion? Or were they simply considered too crazy to be helped? I would highly recommend watching this with the commentary track, which gave me additional insight into the film.",positive
"Any movie should have an idea; Simple or more complex, it needs one... The problem with Fragata,..it's once more, that when he decides to make a movie, he so anxious to do ""whatsoever"" that he forgets this main detail, and as result we have the characters doing whatever without any justification, behaving without justified reasons...they are simple puppets going along the movie on the flavour of the wind. It's boring and sad to see them appearing and vanishing like cards being discarded in a game. Fragata always seem to have talent in advertising is own work...and that leads you to see what he did...but in the end there's always a big disappointment. It's not enough having a movie full of the ""hot Portuguese's pink magazine stars""...especially when half of them can't act...they only pretend to be funny. Here my only good point goes to the actor Helder Mendes...one of the few non stars': He makes the effort to establish some credibility, and in such a messy movie without any direction (of any kind) I give him the credit for trying hard. But this movie its worth to check out as a manual of ""how to not do a movie""...and if Fragata's previous works where bad...this one it's a ""masterpiece"" in achieving the title of AWFUL. In few words,..Just check it out! It will make you good,...and if you homemade your family movies,...and always feel bad with your work...so just spend 30 minutes looking to this so ""called"" professional work...your home made stuff will look like Powerful Hollywood Flicks compare to Sorte Nula.",negative
"One has to be careful whom one tells about watching 12-hour long films. It could become easy for people to assume that this is some kind of regular occurrence - in fact, even in the world of 'arthouse' cinema, such mammoth running times are extremely rare, for obvious reasons. This is one thing that Hollywood and art cinema share in common: the generally accepted running time of 90-120 minutes, with a minority of movies that dare to approach, but rarely exceed, the three-hour mark.<br /><br />For this reason, a film like Out 1 (runtime: 729 minutes) is a challenge for even the most hardened cinephile, and it goes some way in explaining why it has only ever been screened on a handful of occasions and remains extremely hard to find.<br /><br />Originally devised as a TV series by maverick Nouvelle Vague director Jacques Rivette, it raised little interest from the French networks, and wound up being given a brief theatrical run instead (Peter Watkins was forced to do much the same with his brilliant nuclear war pseudo- documentary The War Game, although that had more to do with state censorship than issues with running time). Shown a couple of times in 1971, Out 1 has re-emerged at a handful of Rivette retrospectives over the last two decades, and many who have seen it, including esteemed US critic Jonathan Rosenbaum, have acclaimed it as one of the greatest films of all time.<br /><br />Is it? Well, yes, if you like Rivette. That alone is a big 'if', as Jacques Rivette has never been a commercially successful director. Only two of his films were hits (Celine and Julie Go Boating (1974) and La Belle Noiseuse (1991), both superb), and many remain difficult to find on DVD today (Out 1 only recently became available over the internet after a rare videotape was uploaded). Nevertheless, he is greatly respected within the film community, and with good reason - his playfully surreal narratives, sense of pacing and use of improvisation set him apart as one of cinema's most unique and satisfying film-makers.<br /><br />Out 1 deals with a theme that re-occurs throughout Rivette's work: the nature of acting, particularly in the context of theatre and improvisation. His fascination with acting make Rivette's films a far more collaborative process than many of his contemporaries, as the improvisational aspects allow actors to have a far more active role in determining how the film comes together. Out 1 is roughly divided into four major narratives, gradually intertwining and blurring as the film develops: two consisting of acting troupes, each trying to devise post-modern theatrical adaptations of Aeschylus plays; the other two individual petty thieves (played by Nouvelle Vague icons Jean-Pierre Léaud and Juliet Berto) pursuing eccentric methods of making money; and an overarching plot involving a mysterious Balzac-inspired conspiracy centred around an organisation known as 'the thirteen'.<br /><br />As with any Rivette film featuring a 'conspiracy' narrative, the mysteries and secret organisations are little more than a red herring. As the characters are slowly explored and revealed and their plans and interpersonal connections break down, the film becomes increasingly symbolic of post-1968 ennui and the decline of the ideals of that era. For a film made in 1971, these were remarkably prescient themes; another French director in Jean Eustache would tackle this topic equally satisfyingly in his 1973 masterpiece The Mother and the Whore. But this is not the limit of Out 1's scope. <br /><br />Comprised of eight episodes of roughly 90 minutes each (the beginning of each episode has a brief, abstract black-and-white still montage of the events of the previous chapter), Out 1 is no less watchable than any quality TV series, and may even be better experienced on a one-episode- at-a-time basis. This is not to say that it doesn't remain challenging even when viewed in segments. Like most Rivette films, it uses the first few hours to simply establish the characters before embarking on the plot, of sorts, and some of those early scenes (particularly the sequences depicting the actors' heavily abstracted 'exercises') seem interminably long. These scenes are important, however, not just as an exploration of the improvisational acting methods that play both a literal and a metaphorical role in the film, but as a method of adjusting the viewer to the somewhat languorous pace of the film. Paradoxically, long takes make long films far more tolerable for an audience, and this understanding of pacing has led Rivette, along with more modern directors like Michael Haneke and Béla Tarr, to create films with less commercial running-times that nevertheless retain the capacity to leave viewers enthralled.<br /><br />In a film that is in many ways about acting, the acting is fantastic. Many famous Nouvelle Vague faces appear, including the aforementioned Léaud and Berto, the outstanding Michel Lonsdale and Rivette regular Bulle Ogier. Even another legendary director in Eric Rohmer has a great cameo as a Balzac professor who appears in a pivotal scene. The people and architecture of Paris c. 1971, though, seem to have an equally significant role - the city landscapes, crowd scenes and interested onlookers freeze Out 1 in time, a document of a place at a point in history.<br /><br />After a little more than 720 minutes, the film ends on an impossibly brief, enigmatic note; yet, the exhausting journey that the viewer has taken is so full of possibilities, intricacy and spontaneity, that one would be forgiven for wanting to start all over again from the beginning, or see the next twelve hours in the lives of these characters. For those who have watched many kinds of cinema and think they have seen everything the art form has to offer, Out 1 is a reminder that cinema has the potential to be so many more things and diverge in so many more directions than current conventions allow. For film-makers, film critics and artists of all disciplines, this is something to be cherished.",positive
